*Node coordinates
*node i, xi, yi, zi
      1,           2.,           0.,         0.25
      2,   1.89999998,           0.,         0.25
      3,   1.79999995,           0.,         0.25
      4,   1.70000005,           0.,         0.25
      5,   1.60000002,           0.,         0.25
      6,          1.5,           0.,         0.25
      7,   1.39999998,           0.,         0.25
      8,   1.29999995,           0.,         0.25
      9,   1.20000005,           0.,         0.25
     10,   1.10000002,           0.,         0.25
     11,           1.,           0.,         0.25
     12,  0.899999976,           0.,         0.25
     13,  0.800000012,           0.,         0.25
     14,  0.699999988,           0.,         0.25
     15,  0.600000024,           0.,         0.25
     16,          0.5,           0.,         0.25
     17,  0.400000006,           0.,         0.25
     18,  0.300000012,           0.,         0.25
     19,  0.200000003,           0.,         0.25
     20,  0.100000001,           0.,         0.25
     21,           0.,           0.,         0.25
     22,           2.,           0.,  0.166666672
     23,   1.89999998,           0.,  0.166666672
     24,   1.79999995,           0.,  0.166666672
     25,   1.70000005,           0.,  0.166666672
     26,   1.60000002,           0.,  0.166666672
     27,          1.5,           0.,  0.166666672
     28,   1.39999998,           0.,  0.166666672
     29,   1.29999995,           0.,  0.166666672
     30,   1.20000005,           0.,  0.166666672
     31,   1.10000002,           0.,  0.166666672
     32,           1.,           0.,  0.166666672
     33,  0.899999976,           0.,  0.166666672
     34,  0.800000012,           0.,  0.166666672
     35,  0.699999988,           0.,  0.166666672
     36,  0.600000024,           0.,  0.166666672
     37,          0.5,           0.,  0.166666672
     38,  0.400000006,           0.,  0.166666672
     39,  0.300000012,           0.,  0.166666672
     40,  0.200000003,           0.,  0.166666672
     41,  0.100000001,           0.,  0.166666672
     42,           0.,           0.,  0.166666672
     43,           2.,           0., 0.0833333358
     44,   1.89999998,           0., 0.0833333358
     45,   1.79999995,           0., 0.0833333358
     46,   1.70000005,           0., 0.0833333358
     47,   1.60000002,           0., 0.0833333358
     48,          1.5,           0., 0.0833333358
     49,   1.39999998,           0., 0.0833333358
     50,   1.29999995,           0., 0.0833333358
     51,   1.20000005,           0., 0.0833333358
     52,   1.10000002,           0., 0.0833333358
     53,           1.,           0., 0.0833333358
     54,  0.899999976,           0., 0.0833333358
     55,  0.800000012,           0., 0.0833333358
     56,  0.699999988,           0., 0.0833333358
     57,  0.600000024,           0., 0.0833333358
     58,          0.5,           0., 0.0833333358
     59,  0.400000006,           0., 0.0833333358
     60,  0.300000012,           0., 0.0833333358
     61,  0.200000003,           0., 0.0833333358
     62,  0.100000001,           0., 0.0833333358
     63,           0.,           0., 0.0833333358
     64,           2.,           0.,           0.
     65,   1.89999998,           0.,           0.
     66,   1.79999995,           0.,           0.
     67,   1.70000005,           0.,           0.
     68,   1.60000002,           0.,           0.
     69,          1.5,           0.,           0.
     70,   1.39999998,           0.,           0.
     71,   1.29999995,           0.,           0.
     72,   1.20000005,           0.,           0.
     73,   1.10000002,           0.,           0.
     74,           1.,           0.,           0.
     75,  0.899999976,           0.,           0.
     76,  0.800000012,           0.,           0.
     77,  0.699999988,           0.,           0.
