Restrained Nodes
Node_i, flag_x, flag_y, flag_z, x_displ, y_displ, z_displ
21, 1, 1, 1, 0, 0, 0
42, 1, 1, 1, 0, 0, 0
63, 1, 1, 1, 0, 0, 0
84, 1, 1, 1, 0, 0, 0
105, 1, 1, 1, 0, 0, 0
126, 1, 1, 1, 0, 0, 0
147, 1, 1, 1, 0, 0, 0
168, 1, 1, 1, 0, 0, 0
189, 1, 1, 1, 0, 0, 0
210, 1, 1, 1, 0, 0, 0
231, 1, 1, 1, 0, 0, 0
252, 1, 1, 1, 0, 0, 0
273, 1, 1, 1, 0, 0, 0
294, 1, 1, 1, 0, 0, 0
315, 1, 1, 1, 0, 0, 0
336, 1, 1, 1, 0, 0, 0
357, 1, 1, 1, 0, 0, 0
378, 1, 1, 1, 0, 0, 0
399, 1, 1, 1, 0, 0, 0
420, 1, 1, 1, 0, 0, 0
441, 1, 1, 1, 0, 0, 0
462, 1, 1, 1, 0, 0, 0
483, 1, 1, 1, 0, 0, 0
504, 1, 1, 1, 0, 0, 0
525, 1, 1, 1, 0, 0, 0
546, 1, 1, 1, 0, 0, 0
567, 1, 1, 1, 0, 0, 0
588, 1, 1, 1, 0, 0, 0
609, 1, 1, 1, 0, 0, 0
630, 1, 1, 1, 0, 0, 0
651, 1, 1, 1, 0, 0, 0
672, 1, 1, 1, 0, 0, 0
693, 1, 1, 1, 0, 0, 0
714, 1, 1, 1, 0, 0, 0
735, 1, 1, 1, 0, 0, 0
756, 1, 1, 1, 0, 0, 0
777, 1, 1, 1, 0, 0, 0
798, 1, 1, 1, 0, 0, 0
819, 1, 1, 1, 0, 0, 0
840, 1, 1, 1, 0, 0, 0
861, 1, 1, 1, 0, 0, 0
882, 1, 1, 1, 0, 0, 0
903, 1, 1, 1, 0, 0, 0
924, 1, 1, 1, 0, 0, 0
1, 0, 1, 0, 0, -0.0500, 0  
21, 0, 1, 0, 0, -0.0500, 0  
41, 0, 1, 0, 0, -0.0500, 0  
