E12,E22
0.00E+00,-4.00E-02
8.00E-02,0.00E+00
8.00E-02,-6.40E-02
8.00E-02,-3.20E-02
8.00E-02,-1.60E-02
8.00E-02,-1.07E-02
8.00E-02,-7.53E-03
8.00E-02,-4.00E-03
8.00E-02,-1.60E-03
3.20E-02,-4.00E-02
1.60E-02,-4.00E-02
8.00E-03,-4.00E-02
5.33E-03,-4.00E-02
2.00E-03,-4.00E-02
8.00E-02,-5.33E-02
8.00E-02,-4.57E-02
8.00E-02,-4.00E-02
8.00E-02,-3.56E-02
8.00E-02,-2.91E-02
8.00E-02,-2.67E-02
8.00E-02,-2.46E-02
8.00E-02,-2.29E-02
8.00E-02,-2.13E-02
8.00E-02,-2.00E-02
8.00E-02,-1.88E-02
2.67E-02,-4.00E-02
2.29E-02,-4.00E-02
2.00E-02,-4.00E-02
1.78E-02,-4.00E-02
6.00E-02,-6.67E-02
6.00E-02,-6.00E-02
6.00E-02,-5.45E-02
6.00E-02,-5.00E-02
6.00E-02,-4.62E-02
6.00E-02,-4.44E-02
6.00E-02,-4.29E-02
6.00E-02,-4.14E-02
1.10E-02,-4.00E-02
1.32E-02,-4.00E-02
1.44E-02,-4.00E-02
1.50E-04,3.00E-02
1.50E-03,3.00E-02
7.50E-03,3.00E-02
4.50E-02,3.00E-02
6.00E-02,3.00E-02
6.00E-02,2.40E-02
6.00E-02,2.00E-02
6.00E-02,1.71E-02
6.00E-02,1.50E-02
6.00E-02,1.33E-02
6.00E-02,1.20E-02
6.00E-02,1.00E-02
6.00E-02,8.57E-03
6.00E-02,7.50E-03
6.00E-02,6.67E-03
6.00E-02,6.00E-03
6.00E-02,3.00E-03
6.00E-02,1.20E-03
6.00E-02,6.00E-04
